name,model_name,backend_used,effective_clip_frames,effective_sampling_rate,input_resize,input_crop,stride_frames,bandwidth_mbps,network_delay_ms,packet_loss,queue_delay_ms,jpeg_quality,n_total_manifest_rows,n_evaluated_videos,n_skipped_videos,video_top1_accuracy,avg_confidence,n_gt_classes_in_eval,n_pred_classes_in_eval,n_chunks,n_effective_chunks,n_dropped_chunks,chunk_top1_accuracy,infer_avg_ms,infer_p95_ms,tx_avg_ms,first_result_ms,end_to_end_avg_ms,prediction_switch_rate_avg,run_wall_time_sec,run_wall_time_min
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_4_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,4.0,50.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,9.704362852094356,11.928205000367598,61.980073310959504,124.74880265622778,121.68443616305386,0.15874705359999475,8.659611299997778,0.14432685499996295
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_4_0__network_delay_ms_50_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,4.0,50.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,9.755068694135186,12.444639998284403,61.980073310959504,124.56313031267636,121.81305449467186,0.16025119692399103,8.590180899998813,0.1431696816666469
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_4_0__network_delay_ms_50_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,4.0,50.0,0.05,0.0,80,20,20,0,0.65,0.7649175176216921,7,13,568,542,26,0.6180811808118081,9.798299815461228,12.586639998153256,61.980073310959504,124.75002031220792,121.88766789664204,0.16612822227852,8.445604000000458,0.1407600666666743
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,0.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,10.209338380321588,13.029699998878641,30.990036655479752,42.827933827837114,41.19937503580134,0.15874705359999475,9.028116400000727,0.15046860666667877
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,0.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,9.846238819291866,12.904520000302007,30.990036655479752,42.633152656328456,40.875231719560205,0.16025119692399103,8.617906499999663,0.14363177499999438
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,0.0,0.05,0.0,80,20,20,0,0.65,0.7649175176216921,7,13,568,542,26,0.6180811808118081,9.761479520336934,12.292054998215459,30.990036655479752,42.59891265645128,40.80616356092734,0.16612822227852,8.371107399998436,0.13951845666664062
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,20.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,9.89825950712106,12.359585001286177,30.990036655479752,62.54864382794767,60.88829616260081,0.15874705359999475,8.831203200003074,0.14718672000005123
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,20.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,9.679741681476264,11.82223000105296,30.990036655479752,62.614552656216254,60.7087345817446,0.16025119692399103,8.5382924000005,0.14230487333334169
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,20.0,0.05,0.0,80,20,20,0,0.65,0.7649175176216921,7,13,568,542,26,0.6180811808118081,9.690230073695055,12.017839999498381,30.990036655479752,62.53282265579619,60.73491411428546,0.16612822227852,8.352321800000936,0.13920536333334893
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,50.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,10.048092253558499,12.44452000119054,30.990036655479752,92.98421882788534,91.03812890903825,0.15874705359999475,8.963808900000004,0.14939681500000007
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_50_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,50.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,10.088020214677528,12.667049999072333,30.990036655479752,92.26340265630134,91.11701311494586,0.16025119692399103,8.885826599998836,0.1480971099999806
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_50_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,50.0,0.05,0.0,80,20,20,0,0.65,0.7649175176216921,7,13,568,542,26,0.6180811808118081,9.706052767615564,11.562029998458456,30.990036655479752,92.84053765657737,90.75073680820597,0.16612822227852,8.360789499998646,0.1393464916666441
chunk_frames_4__input_resize_182__sampling_rate_12__stride_frames_4__bandwidth_mbps_1_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,12,182,182,4,1.0,0.0,0.0,0.0,80,20,20,0,0.6,0.7517902925622966,7,14,1009,1009,0,0.6164519326065411,9.892996630320994,12.442659998487214,248.14475192021803,266.46409062467865,258.03774855053905,0.14493557317345246,14.952002800000628,0.24920004666667714
